ï»¿"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"13-JUL-2026","MANCREDIT","Mangal Credit N Fincorp L","SHREE NAMAN SECURITIES & FINANCE PRIVATE LIMITED","SELL","1,60,919","244.80","-"
"13-JUL-2026","MANCREDIT","Mangal Credit N Fincorp L","SHREE NAMAN SECURITIES & FINANCE PRIVATE LIMITED","BUY","1,60,919","244.60","-"
"13-JUL-2026","MOBIKWIK","One Mobikwik Systems Ltd","QE SECURITIES LLP","SELL","4,16,919","225.45","-"
"13-JUL-2026","MOBIKWIK","One Mobikwik Systems Ltd","QE SECURITIES LLP","BUY","4,26,815","225.65","-"
"13-JUL-2026","MOTISONS","Motisons Jewellers Ltd","ARIHANT CAPITAL MARKETS LIMITED","BUY","1,97,06,602","14.38","-"
"13-JUL-2026","MOTISONS","Motisons Jewellers Ltd","ARIHANT CAPITAL MARKETS LIMITED","SELL","2,06,68,519","14.30","-"
"13-JUL-2026","MOTISONS","Motisons Jewellers Ltd","HRTI PRIVATE LIMITED","BUY","59,23,914","14.30","-"
"13-JUL-2026","MOTISONS","Motisons Jewellers Ltd","HRTI PRIVATE LIMITED","SELL","60,31,656","14.32","-"
"13-JUL-2026","MPEL","Manas Polymer N Energie L","ARUN GAHLOT","BUY","68,800","41.00","-"
"13-JUL-2026","MUNISH","Munish Forge Limited","GIRIRAJ STOCK BROKING PRIVATE LIMITED","SELL","1,44,000","69.00","-"
"13-JUL-2026","MUNISH","Munish Forge Limited","NEHA MADHOK","BUY","1,44,000","69.00","-"
"13-JUL-2026","NEWGEN","Newgen Software Tech Ltd","HRTI PRIVATE LIMITED","BUY","7,29,936","569.24","-"
"13-JUL-2026","NEWGEN","Newgen Software Tech Ltd","HRTI PRIVATE LIMITED","SELL","7,36,160","572.24","-"
